ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,entrez_id,gene_name
ENSMUSG00000030278,1384.2332967226096,4.940280038249785,0.3356026090181337,14.72062464801293,4.752500808226444e-49,7.139206714117764e-45,Cidec,14311,cell death-inducing DFFA-like effector c
ENSMUSG00000037440,2096.463343690468,3.8845261871753793,0.27446182548316156,14.15324765233589,1.783277269668225e-45,1.339419557247804e-41,Vnn1,22361,vanin 1
ENSMUSG00000029314,254.704307737341,3.9662987363611317,0.2849228808283845,13.920604497713622,4.748707148687284e-44,2.3778359595860126e-40,Gpat3,231510,glycerol-3-phosphate acyltransferase 3
ENSMUSG00000036427,5356.040788143607,-1.022074373338326,0.07802850742885109,-13.09873028482938,3.348119073529605e-39,1.2573861180640433e-35,Gpi1,14751,glucose-6-phosphate isomerase 1
ENSMUSG00000029822,687.1853555885906,3.374963125111997,0.2637651286176034,12.795334784397864,1.7410057058510373e-37,5.2306775426588565e-34,Osbpl3,71720,oxysterol binding protein-like 3
ENSMUSG00000008153,946.8298925342651,3.0640956166661573,0.24027753892571496,12.752318133296113,3.0261091124304295e-37,7.576368514488318e-34,Clstn3,232370,calsyntenin 3
ENSMUSG00000041237,14033.07878416572,-2.217710208101904,0.17738342611904515,-12.502352991048665,7.247391527369792e-36,1.5552902217735574e-32,Pklr,18770,pyruvate kinase liver and red blood cell
ENSMUSG00000028715,8245.425564277017,8.011188332951862,0.6467189147205618,12.387434711745497,3.056654359446442e-35,5.739632723450556e-32,Cyp4a14,13119,"cytochrome P450, family 4, subfamily a, polypeptide 14"
ENSMUSG00000054764,87.19383370048038,3.8439311403652896,0.3191918158852965,12.042699558896677,2.1190576247490968e-33,3.536942626553437e-30,Mtnr1a,17773,melatonin receptor 1A
ENSMUSG00000010025,14276.975254277011,2.1742115563648454,0.1832454359181281,11.865024334555637,1.798501907195775e-32,2.701709564989493e-29,Aldh3a2,11671,"aldehyde dehydrogenase family 3, subfamily A2"
ENSMUSG00000002944,3571.061863107431,2.964698777587757,0.2626137221176847,11.289199793829475,1.4838138018401586e-29,1.9607660450429503e-26,Cd36,12491,CD36 molecule
ENSMUSG00000041293,59.960341327293555,-5.118511755999388,0.45359013342684656,-11.284442448801379,1.5663155731936764e-29,1.9607660450429503e-26,Adgrf1,77596,adhesion G protein-coupled receptor F1
ENSMUSG00000030545,3623.9156052491558,1.9861355341739995,0.18006223962075746,11.030272301161798,2.730370907234293e-28,3.155048597574888e-25,Pex11a,18631,peroxisomal biogenesis factor 11 alpha
ENSMUSG00000010651,35275.72190830705,1.8444418341870301,0.171036484203837,10.783908724344863,4.100815473186902e-27,4.400175002729546e-24,Acaa1b,235674,acetyl-Coenzyme A acyltransferase 1B
ENSMUSG00000040660,1593.0466728640824,7.421366175441259,0.6941901869913355,10.690681479676243,1.1254099056210196e-26,1.1270605068159306e-23,Cyp2b9,13094,"cytochrome P450, family 2, subfamily b, polypeptide 9"
ENSMUSG00000071633,1361.9796759910228,2.8136160619733177,0.2696144936233867,10.435700337028399,1.703528974828754e-25,1.5994007662423464e-22,Gm4952,240549,predicted gene 4952
ENSMUSG00000000594,1901.8565071248709,-1.226459609337508,0.11812505208837985,-10.382722273171016,2.9717811676619706e-25,2.626005688271654e-22,Gm2a,14667,GM2 ganglioside activator protein
ENSMUSG00000035186,185.52207814775485,5.5640935818585175,0.5368120051591653,10.365069201849833,3.5749959678689704e-25,2.9835327460737597e-22,Ubd,24108,ubiquitin D
ENSMUSG00000028024,2142.1017829776915,-1.8549732282024751,0.18059687405781494,-10.271347374532285,9.487028645031358e-25,7.500744437140056e-22,Enpep,13809,glutamyl aminopeptidase
ENSMUSG00000068220,1035.5638143488193,2.32847406406477,0.22841177134007085,10.19419467921389,2.104816831950008e-24,1.580927922477651e-21,Lgals1,16852,"lectin, galactose binding, soluble 1"
ENSMUSG00000021226,341.1377646606258,3.813074408713904,0.3755745500124975,10.152643219800227,3.2250801775892025e-24,2.307007353702143e-21,Acot2,171210,acyl-CoA thioesterase 2
ENSMUSG00000002831,1444.9148798977064,3.4029819034745836,0.3365721650345955,10.110705093883205,4.952653888994347e-24,3.3817621236578675e-21,Plin4,57435,perilipin 4
ENSMUSG00000031938,5229.811514468793,1.0065331289956678,0.09975859451409547,10.089688351147018,6.136402790291738e-24,4.007871422424456e-21,4931406C07Rik,70984,RIKEN cDNA 4931406C07 gene
ENSMUSG00000052133,208.79265459250942,3.759699084947566,0.37357260488678407,10.064172361051451,7.955361478227575e-24,4.979393338580609e-21,Sema5b,20357,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B"
ENSMUSG00000087382,296.44691997456806,2.664384532969162,0.2716347214015361,9.808703832933835,1.0328669993644326e-22,6.206291225781002e-20,Ctcflos,74161,"CCCTC-binding factor like, opposite strand"
