ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006631,fatty acid metabolic process,82/957,406/13235,0.2019704433497537,2.793185807454535,10.24541669951371,5.6063341891964894e-18,2.754391987152235e-14,2.531112351311973e-14,Cyp4a14/Aldh3a2/Acaa1b/Cyp2b9/Acot2/Cyp4a10/Crat/Cyp4a31/Cyp4a32/Crot/Acot1/Hsd17b4/Etfdh/Slc27a1/Acad12/Acox1/Acat1/Abhd2/Decr1/Acot4/Acadm/Fabp2/Pparg/Eci1/Decr2/Hadhb/Ech1/Acot3/Acsf3/Insig2/Acsl1/Ephx1/Acad10/Cyp2a22/Ehhadh/Apoa4/Abcd2/Acsm3/Ces1g/Hadh/Acot6/Gk/Acaa1a/Gsta1/Cyp2b13/Acadl/Acox2/Lonp2/Sirt4/Gdf15/Eci2/Acsf2/Hadha/Mgst3/Cyp2c38/Slc27a2/Tpk1/Hsd17b12/Cyp2c39/Trib3/Acot8/Cpt1b/Acads/Cpt2/Gpx1/Cpt1a/Lipe/Elovl7/Pdk4/Hpgds/Ces2e/Cyp2a4/Ephx2/Gstm4/Ces2c/Sphk1/Cyp4f18/Hao2/Acot9/Cyp1b1/Myo5a/Plp1,82
GO:0006635,fatty acid beta-oxidation,28/957,76/13235,0.3684210526315789,5.095143815651983,9.99544722268862,1.3440902687537218e-13,3.3017577451935175e-10,3.034106927728796e-10,Acaa1b/Crat/Crot/Hsd17b4/Etfdh/Acad12/Acox1/Acat1/Decr1/Acadm/Eci1/Hadhb/Ech1/Acad10/Ehhadh/Abcd2/Hadh/Acaa1a/Acadl/Acox2/Lonp2/Eci2/Hadha/Slc27a2/Cpt1b/Acads/Cpt2/Cpt1a,28
GO:0009062,fatty acid catabolic process,33/957,106/13235,0.3113207547169811,4.305465191932336,9.539100320588036,2.3328993449668655e-13,3.820511493940737e-10,3.510808873881715e-10,Acaa1b/Crat/Crot/Hsd17b4/Etfdh/Acad12/Acox1/Acat1/Abhd2/Decr1/Acadm/Eci1/Decr2/Hadhb/Ech1/Acad10/Ehhadh/Abcd2/Hadh/Acaa1a/Acadl/Acox2/Lonp2/Eci2/Hadha/Slc27a2/Acot8/Cpt1b/Acads/Cpt2/Cpt1a/Lipe/Hao2,33
GO:0072329,monocarboxylic acid catabolic process,36/957,132/13235,0.2727272727272727,3.7717298375605584,8.93491060379558,1.6235860545881403e-12,1.9941695715478835e-9,1.8325159442443513e-9,Acaa1b/Crat/Crot/Hsd17b4/Etfdh/Acad12/Acox1/Acat1/Abhd2/Decr1/Acadm/Agxt2/Eci1/Decr2/Hadhb/Ech1/Hexa/Acad10/Ehhadh/Abcd2/Hadh/Acaa1a/Acadl/Acox2/Lonp2/Eci2/Hadha/Slc27a2/Hexb/Acot8/Cpt1b/Acads/Cpt2/Cpt1a/Lipe/Hao2,36
GO:0019395,fatty acid oxidation,33/957,114/13235,0.2894736842105263,4.003327283726557,8.991027767066294,2.2738671447761354e-12,1.9970938551516095e-9,1.8352031762660297e-9,Acaa1b/Crat/Crot/Hsd17b4/Etfdh/Acad12/Acox1/Acat1/Decr1/Acadm/Pparg/Eci1/Hadhb/Ech1/Acad10/Ehhadh/Abcd2/Hadh/Acaa1a/Acadl/Acox2/Lonp2/Sirt4/Gdf15/Eci2/Hadha/Slc27a2/Cpt1b/Acads/Cpt2/Cpt1a/Pdk4/Hao2,33
GO:0001676,long-chain fatty acid metabolic process,32/957,108/13235,0.2962962962962963,4.097681798831224,9.024094999206506,2.4389503624892443e-12,1.9970938551516095e-9,1.8352031762660297e-9,Cyp4a14/Cyp2b9/Acot2/Cyp4a10/Cyp4a31/Cyp4a32/Acot1/Slc27a1/Acot4/Acot3/Acsl1/Ephx1/Cyp2a22/Cyp2b13/Acadl/Mgst3/Cyp2c38/Slc27a2/Cyp2c39/Cpt2/Gpx1/Cpt1a/Lipe/Cyp2a4/Ephx2/Gstm4/Sphk1/Cyp4f18/Acot9/Cyp1b1/Myo5a/Plp1,32
GO:0034440,lipid oxidation,33/957,116/13235,0.28448275862068967,3.9343043995243763,8.861791196717583,3.872015590749357e-12,2.717601799621656e-9,2.4973044915374425e-9,Acaa1b/Crat/Crot/Hsd17b4/Etfdh/Acad12/Acox1/Acat1/Decr1/Acadm/Pparg/Eci1/Hadhb/Ech1/Acad10/Ehhadh/Abcd2/Hadh/Acaa1a/Acadl/Acox2/Lonp2/Sirt4/Gdf15/Eci2/Hadha/Slc27a2/Cpt1b/Acads/Cpt2/Cpt1a/Pdk4/Hao2,33
GO:0016042,lipid catabolic process,54/957,283/13235,0.19081272084805653,2.6388781195653377,7.780529908296051,3.189605093341391e-11,1.9588162279482817e-8,1.800028453334372e-8,Cidec/Clstn3/Acaa1b/Acot2/Crat/Crot/Hsd17b4/Cidea/Etfdh/Fitm2/Acad12/Acox1/Acat1/Nceh1/Fgf21/Abhd2/Decr1/Acadm/Pla2g6/Eci1/Decr2/Hadhb/Ech1/Hexa/Acad10/Hsd17b11/Ehhadh/Apoa4/Hsd3b7/Abcd2/Ces1g/Hadh/Acaa1a/Acadl/Acox2/Lonp2/Psap/Eci2/Tbl1xr1/Hadha/Slc27a2/Hexb/Acot8/Cpt1b/Acads/Cpt2/Cpt1a/Abhd6/Lipe/Smpd3/Plce1/Hao2/Cyp1b1/Adora1,54
GO:0016054,organic acid catabolic process,47/957,230/13235,0.20434782608695654,2.8260642406069696,7.799423651625282,5.421849660813697e-11,2.6637547383577693e-8,2.447822441603152e-8,Acaa1b/Ppm1k/Crat/Crot/Hsd17b4/Etfdh/Acad12/Acox1/Acat1/Abhd2/Decr1/Acot4/Acadm/Agxt2/Eci1/Decr2/Adhfe1/Hadhb/Ech1/Acsf3/Hexa/Acad10/Ehhadh/Abcd2/Hadh/Acaa1a/Acadl/Acox2/Lonp2/Hmgcl/Eci2/Hadha/Amt/Slc27a2/Hexb/Acot8/Cpt1b/Nagk/Ddah1/Acads/Cpt2/Cpt1a/Lipe/Gnpda1/Abat/Hao2/Aadat,47
GO:0046395,carboxylic acid catabolic process,47/957,230/13235,0.20434782608695654,2.8260642406069696,7.799423651625282,5.421849660813697e-11,2.6637547383577693e-8,2.447822441603152e-8,Acaa1b/Ppm1k/Crat/Crot/Hsd17b4/Etfdh/Acad12/Acox1/Acat1/Abhd2/Decr1/Acot4/Acadm/Agxt2/Eci1/Decr2/Adhfe1/Hadhb/Ech1/Acsf3/Hexa/Acad10/Ehhadh/Abcd2/Hadh/Acaa1a/Acadl/Acox2/Lonp2/Hmgcl/Eci2/Hadha/Amt/Slc27a2/Hexb/Acot8/Cpt1b/Nagk/Ddah1/Acads/Cpt2/Cpt1a/Lipe/Gnpda1/Abat/Hao2/Aadat,47
