ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006790,sulfur compound metabolic process,34/515,299/13235,0.11371237458193979,2.9222976263921807,6.764907216063083,1.928078502263941e-8,6.26519505589824e-5,5.809025171200263e-5,Acly/Acp3/Acacb/Pdk1/Cps1/Gpam/Gstm6/Acaca/Pcmt1/Elovl6/Fasn/Acss2/Hs6st1/Dgat2/Ggt6/Gstm7/Gpat4/Sult2a7/Amd1/Pdhb/Cbs/Acsl4/Tpst1/Gnmt/Chsy3/Acot11/Hmgcr/Gstp3/Sult1d1/Gstp1/Txnrd3/Nox4/Pmvk/G6pdx,34
GO:0046394,carboxylic acid biosynthetic process,32/515,279/13235,0.11469534050179211,2.9475588961965413,6.615502776463014,4.150632147605958e-8,6.26519505589824e-5,5.809025171200263e-5,Pklr/Acly/Fabp5/Acacb/Srebf1/Mid1ip1/Acmsd/Gls2/Ass1/Got1/Gstm6/Acaca/Elovl6/Fasn/Acss2/Sds/Insig1/Gstm7/Pah/Haao/Cyp39a1/Cbs/Sdsl/Mif/Ces1c/Ugp2/Asl/Gstp3/Gstp1/Stard4/Cad/Apoc3,32
GO:0016053,organic acid biosynthetic process,32/515,283/13235,0.11307420494699646,2.905897286356307,6.521235973487593,5.815319044221192e-8,6.26519505589824e-5,5.809025171200263e-5,Pklr/Acly/Fabp5/Acacb/Srebf1/Mid1ip1/Acmsd/Gls2/Ass1/Got1/Gstm6/Acaca/Elovl6/Fasn/Acss2/Sds/Insig1/Gstm7/Pah/Haao/Cyp39a1/Cbs/Sdsl/Mif/Ces1c/Ugp2/Asl/Gstp3/Gstp1/Stard4/Cad/Apoc3,32
GO:0005996,monosaccharide metabolic process,30/515,257/13235,0.11673151750972763,2.999886668429602,6.514388964786832,7.470606835415226e-8,6.26519505589824e-5,5.809025171200263e-5,Gpi1/Fabp5/Tkfc/Tff3/Acacb/Aldob/Pdk1/Rpia/Ppp1r3b/Khk/Gck/Lepr/Fbp1/Got1/Sds/Dgat2/Foxk2/Glb1/Pdhb/Slc37a4/Gnmt/Fuom/Serpina12/Pik3r1/Pgd/Pgp/Pfkm/G6pdx/Nnmt/Mup3,30
GO:0005975,carbohydrate metabolic process,44/515,475/13235,0.09263157894736843,2.3805416453755752,6.165617856025909,8.028184336107433e-8,6.26519505589824e-5,5.809025171200263e-5,Gpi1/Pklr/Gm2a/Fabp5/Tkfc/Pygl/Tff3/Acacb/Aldob/Pdk1/Rpia/Ppp1r3b/Khk/Gck/Lepr/Fbp1/Got1/Sds/Klb/Dgat2/Foxk2/Slc3a1/Glb1/Pdhb/Mgat2/Slc37a4/Ugp2/Mogs/Gnmt/Fuom/P2ry1/Pfkfb3/Hsd11b1/Serpina12/Pik3r1/Pgd/Pgp/Myorg/Pfkm/Gys2/G6pdx/Nnmt/Mup3/Ddit4,44
GO:0019318,hexose metabolic process,28/515,237/13235,0.11814345991561181,3.0361722174429557,6.364379059511004,1.5863555675643038e-7,9.176309633411923e-5,8.508181016492696e-5,Gpi1/Fabp5/Tkfc/Tff3/Acacb/Aldob/Pdk1/Ppp1r3b/Khk/Gck/Lepr/Fbp1/Got1/Sds/Dgat2/Foxk2/Glb1/Pdhb/Slc37a4/Gnmt/Fuom/Serpina12/Pik3r1/Pgp/Pfkm/G6pdx/Nnmt/Mup3,28
GO:0008202,steroid metabolic process,31/515,281/13235,0.1103202846975089,2.835124209653457,6.256368233512928,1.6461857363886072e-7,9.176309633411923e-5,8.508181016492696e-5,Cyb5r3/Srebf1/Lepr/Lbr/Atp8b1/Atp1a1/Insig1/Ttc39b/Dgat2/Sult2a7/Cyp39a1/Inhba/Ces1c/Slc37a4/Srd5a1/Hsd11b1/Serpina12/3110082I17Rik/Cyp2r1/Hmgcr/Lrp2/Ugt2b1/Ugt2b38/Cyp17a1/Hsd3b2/Stard4/Pmvk/G6pdx/Pcsk9/Apoc3/Cyp46a1,31
GO:0006805,xenobiotic metabolic process,17/515,103/13235,0.1650485436893204,4.241587331510981,6.645329592044931,4.269904298807558e-7,2.0309711534751193e-4,1.8830958090301832e-4,Cyp2c29/Gstm6/Cyp2c67/Cyp2c70/Gstm7/Sult2a7/Cyp2c40/Cyp2r1/Ugt2b1/Gstp3/Ugt2b38/Gstp1/Cyp2u1/Cyp2j9/Cad/Cyp2c68/Cyp46a1,17
GO:0062012,regulation of small molecule metabolic process,34/515,341/13235,0.09970674486803519,2.5623665404435836,5.881280731905564,4.6844542238021716e-7,2.0309711534751193e-4,1.8830958090301832e-4,Fabp5/Tff3/Acacb/Aldob/Me1/Srebf1/Mid1ip1/Pdk1/Acmsd/Ppp1r3b/Gck/Lepr/Fbp1/Insig1/Ttc39b/Dgat2/Foxk2/Bend3/Acsl4/Ces1c/Gnmt/P2ry1/Hsd11b1/Serpina12/3110082I17Rik/Ppard/Pgp/Ncor2/Stard4/Nnmt/Mup3/Rd3/Apoc3/Ddit4,34
GO:0043603,amide metabolic process,37/515,391/13235,0.09462915601023018,2.4318774364959155,5.782953494567766,5.337239628152676e-7,2.082590902905174e-4,1.9309571159958685e-4,Gm2a/Acly/Nat8f7/Casp3/Acacb/Aldob/Pdk1/Uox/Ass1/Rps23rg1/Cps1/Gpam/Gstm6/Acaca/Elovl6/Fasn/Acss2/Ero1b/Dgat2/Ggt6/Gstm7/Urad/Gpat4/Pdhb/Acsl4/Acot11/Hsd11b1/Asl/Galc/Hmgcr/Gstp3/Gstp1/Txnrd3/Pmvk/G6pdx/Nat8f1/Nnmt,37
