ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0140241,translation at synapse,48,-0.7820230750326811,-3.0144338226287473,1e-10,3.879333333333334e-8,3.367017543859649e-8,2555,"tags=94%, list=18%, signal=77%",20042/19934/20088/267019/19981/19942/27370/19951/19944/68436/19896/66480/19982/269261/27207/19941/268449/57808/20005/67281/26451/68193/57294/319195/27176/20044/67097/22186/65019/78294/19989/66489/270106/100503670/67115/26961/54217/20055/20103/19988/67891/19943/22121/110954/13629
GO:0140242,translation at postsynapse,48,-0.7820230750326811,-3.0144338226287473,1e-10,3.879333333333334e-8,3.367017543859649e-8,2555,"tags=94%, list=18%, signal=77%",20042/19934/20088/267019/19981/19942/27370/19951/19944/68436/19896/66480/19982/269261/27207/19941/268449/57808/20005/67281/26451/68193/57294/319195/27176/20044/67097/22186/65019/78294/19989/66489/270106/100503670/67115/26961/54217/20055/20103/19988/67891/19943/22121/110954/13629
GO:0140236,translation at presynapse,47,-0.7803921850193332,-2.9832370840611215,1e-10,3.879333333333334e-8,3.367017543859649e-8,2555,"tags=94%, list=18%, signal=77%",20042/19934/20088/267019/19981/19942/27370/19951/19944/68436/19896/66480/19982/269261/27207/19941/268449/57808/20005/67281/26451/68193/57294/319195/27176/20044/67097/22186/65019/78294/19989/66489/270106/100503670/67115/26961/54217/20055/20103/19988/67891/19943/22121/110954
GO:0002181,cytoplasmic translation,159,-0.5736275073225741,-2.787852795679137,1e-10,3.879333333333334e-8,3.367017543859649e-8,3013,"tags=69%, list=22%, signal=55%",55944/54127/234734/67186/114641/67945/29813/14904/16341/69674/98221/108067/20042/56040/19934/68184/16898/19921/20088/66244/223691/267019/20068/66481/56347/19981/26905/19942/27370/20090/54709/20226/76846/68052/67427/19946/27979/19951/105244208/13681/19944/68436/20084/19896/66480/12785/19982/67248/68135/224045/67025/53356/11991/269261/27207/19941/229663/268449/57808/20005/67281/27367/26451/20116/66475/20054/68193/67204/75617/319195/13211/20492/27176/16785/20044/19933/11837/67097/22186/20091/65019/19899/76808/78294/19989/66489/20102/270106/18458/100503670/67115/66085/11652/26961/56403/20115/209354/54217/27050/20055/20103/217869/19988/67891/19943/22608/225363/22121/20104/13629
GO:0042274,ribosomal small subunit biogenesis,106,-0.5695688150573132,-2.602838947356754,1e-10,3.879333333333334e-8,3.367017543859649e-8,3042,"tags=58%, list=22%, signal=46%",27966/65961/30946/67674/54127/67842/78651/68979/67973/223499/14113/20826/353258/100043813/20042/217431/55989/20088/57315/267019/20068/66481/70683/76846/20935/68052/99480/66538/105244208/14791/21771/18148/27207/20116/66475/217995/20054/57294/53414/75617/16785/20044/14109/52705/67134/20091/74778/78294/20102/208366/73674/75416/217109/20115/225348/20055/20103/104662/72515/20104/108707/433864
GO:0006635,fatty acid beta-oxidation,76,0.6448074708069366,2.5046433730095434,1e-10,3.879333333333334e-8,3.367017543859649e-8,629,"tags=39%, list=5%, signal=38%",235674/12908/74114/15488/66841/338350/11430/110446/67460/11364/13177/231086/51798/71985/74147/26874/15107/113868/11363/93732/66887/23986/97212/26458/12895/229211/11409/12896/12894/102632
GO:0042254,ribosome biogenesis,307,-0.47138037734365446,-2.4684790621571224,1e-10,3.879333333333334e-8,3.367017543859649e-8,3561,"tags=49%, list=26%, signal=37%",67755/229504/216987/100019/66596/218629/27966/67832/65961/227674/30946/12578/70285/66580/67671/66583/109075/66138/67674/66164/66942/236732/54127/67842/78651/192170/68083/68979/67973/227715/223499/67459/69902/101867/14113/20826/66711/353258/100043813/20042/69072/18572/217431/55989/18813/20088/57315/228889/229317/103136/267019/20068/66481/97112/224092/12181/19942/18114/70683/234374/72831/76846/20935/68052/19069/245474/99480/72344/66538/67936/235036/105244208/17089/192119/101612/110109/68731/107071/67920/14791/21771/66229/67025/67223/18432/77591/18148/27207/19941/100608/68845/71990/57808/117109/56095/20116/66475/320790/217995/20054/68193/57294/53414/75617/74035/18519/27176/16785/20044/14109/52705/225215/67134/11837/59050/100609/20091/74778/78294/19989/66489/20102/234549/208366/100503670/67115/16418/73674/75416/217109/231452/20115/225348/20055/74112/20103/217869/104662/76130/17975/72515/99375/68077/20104/69237/108707/56200/106298/19211/433864/13205
GO:0006364,rRNA processing,212,-0.484303815989529,-2.434440270341247,1e-10,3.879333333333334e-8,3.367017543859649e-8,3360,"tags=49%, list=24%, signal=37%",27966/67832/65961/30946/12578/70285/66580/66583/109075/66138/67674/66942/54127/67842/78651/192170/68083/68979/67973/227715/223499/67459/69902/101867/14113/20826/66711/100043813/69072/18572/217431/18813/20088/57315/228889/103136/20068/66481/12181/19942/18114/70683/234374/245474/72344/67936/235036/105244208/17089/192119/110109/68731/107071/67920/14791/21771/66229/67025/67223/77591/18148/19941/68845/71990/57808/117109/56095/20116/320790/217995/20054/57294/53414/75617/74035/18519/27176/20044/52705/59050/100609/74778/19989/66489/208366/100503670/67115/16418/73674/75416/217109/20115/225348/20055/104662/76130/17975/72515/68077/20104/69237/108707/56200
GO:0019395,fatty acid oxidation,114,0.5821359367882575,2.4244662374563557,1e-10,3.879333333333334e-8,3.367017543859649e-8,630,"tags=31%, list=5%, signal=30%",235674/12908/74114/15488/66841/338350/11430/110446/67460/11364/19016/13177/231086/51798/71985/74147/26874/15107/113868/11363/93732/66887/75387/23886/23986/97212/26458/12895/229211/14261/11409/12896/12894/102632/27273
GO:0034440,lipid oxidation,116,0.5771681565377162,2.4105078821564407,1e-10,3.879333333333334e-8,3.367017543859649e-8,630,"tags=30%, list=5%, signal=29%",235674/12908/74114/15488/66841/338350/11430/110446/67460/11364/19016/13177/231086/51798/71985/74147/26874/15107/113868/11363/93732/66887/75387/23886/23986/97212/26458/12895/229211/14261/11409/12896/12894/102632/27273
GO:0072329,monocarboxylic acid catabolic process,132,0.5615586268070821,2.395642844815876,1e-10,3.879333333333334e-8,3.367017543859649e-8,2614,"tags=49%, list=19%, signal=40%",235674/12908/74114/15488/66841/338350/11430/110446/54608/67460/11364/268782/13177/26378/231086/51798/15211/71985/74147/26874/15107/113868/11363/93732/66887/23986/97212/26458/15212/170789/12895/229211/11409/12896/12894/16890/102632/58810/16828/56185/20280/19300/106861/384783/15108/11881/227627/110842/11992/52815/64899/66948/20501/72129/270076/11370/71767/80911/80879/14080/104158/109254/66968/52430/76574
