ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,146,0.6598325464543838,2.8341358731069,1e-10,2.5e-9,1.2105263157894738e-9,1023,"tags=43%, list=7%, signal=40%",22361/11671/12491/16852/171210/20520/13117/12908/72479/15488/12683/66841/11430/67442/11668/67460/11364/14079/13177/231086/20194/51798/15360/20917/14081/13849/12972/114664/74147/12892/20216/15107/113868/11363/15356/208715/23986/109857/170789/22235/227095/14261/11409/12896/11832/12894/57436/14373/56752/22276/13382/14555/15446/19286/23945/56451/98314/68021/16828/56185/12349/12040/70335
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,160,0.517180175827166,2.2620328638559926,1e-10,2.5e-9,1.2105263157894738e-9,2987,"tags=49%, list=21%, signal=39%",16852/14733/12816/16476/16007/18787/14102/67305/22004/21345/12825/12843/17022/21923/22418/12406/12826/21789/12827/50706/12835/21857/14314/12842/17294/22003/21825/26432/17390/12831/107581/12834/234407/18596/23876/12332/52118/12832/22341/17181/21810/14115/13003/20692/65112/23959/218952/21929/22352/11475/326618/70350/16772/13179/20750/16949/21826/14118/12111/21817/16782/14609/17873/58859/107589/14264/18793/73690/14219/18822/12505/13717/215280/16419/192176/16948/20229/18542/30794
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,110,-0.512984974691879,-2.3509160380325964,3.009502971560518e-9,5.015838285934197e-8,2.428721696347085e-8,4107,"tags=58%, list=30%, signal=41%",50912/218343/22027/69162/69048/102462/276919/20416/72198/14828/22642/74322/27966/66583/50907/109075/12611/231997/192170/12317/227715/67398/13684/70640/56494/16549/12282/20818/105148/16573/245474/13681/11911/70769/27053/208643/71853/77591/18148/15270/72599/20539/22433/226641/381801/20044/67134/28146/52808/74747/75416/231452/22339/78943/22393/110960/100037258/58233/107513/192193/50527/18045/13629/73192
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,194,-0.4095518797669246,-2.016130566866428,4.380715182608487e-8,5.475893978260609e-7,2.651485505263032e-7,1377,"tags=24%, list=10%, signal=22%",20539/67204/22433/74205/68465/56041/18710/28146/103733/21399/74747/22145/27407/66427/103963/14381/235293/12330/56418/170459/74105/225363/107513/15357/56305/78925/192193/14385/67486/76267/50527/229363/21366/110391/20135/231070/17252/170439/107476/11639/14718/20893/228026/17436/104112/14751
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,93,0.5439306285313312,2.1688146154813244,6.814083729089096e-8,6.179837717257143e-7,2.992342473619248e-7,1395,"tags=34%, list=10%, signal=31%",18631/12908/15488/11430/67442/11668/18670/51798/14081/114664/74147/101502/26874/269951/113868/66887/15356/23986/78388/26458/170789/18671/20183/13370/56752/13850/56185/21973/66307/76524/20280/76263
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,197,0.4430199595508111,1.9914008047556835,7.41580526070857e-8,6.179837717257143e-7,2.992342473619248e-7,1757,"tags=30%, list=13%, signal=27%",12491/12908/12683/26457/11430/11520/22228/67442/67460/11364/22245/19016/20850/51798/66092/15107/69574/11363/57875/232089/67171/66447/27376/11512/28169/72039/11861/227095/11409/268301/12896/27047/67809/16890/12826/12452/13382/13850/23945/66588/56451/18606/76614/70335/102693/625249/20280/216820/230027/268566/217430/12580/16443/13602/11757/16956/11429/103172/11600
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,175,0.43614512034997166,1.932431484972919,5.205000324120327e-7,3.717857374371662e-6,1.8002256760115418e-6,2972,"tags=45%, list=21%, signal=35%",16780/20850/15980/16476/16007/15945/18787/12443/13653/21923/13654/16449/16169/14373/20725/16477/21815/14282/240672/57783/56708/20698/23849/14284/18034/65112/24088/15205/12047/18792/11910/18124/56193/19698/17869/56722/14281/21929/21847/20310/15958/15939/384783/14825/18024/17133/20304/56706/12226/21926/22029/23872/108767/106869/26410/17873/229055/17118/14584/12575/18793/230738/18227/12227/13655/13614/12505/19267/19219/22151/104681/54199/16197/14066/20229/18037/50723/18412
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,192,-0.36838642321638254,-1.8103437254693324,4.9961870124281925e-6,3.1226168827676207e-5,1.5120039642874798e-5,3388,"tags=42%, list=24%, signal=32%",110809/99138/27966/12237/22335/20174/59001/18263/107508/23983/55944/66942/85305/12468/268373/14113/13684/55949/19934/16898/18813/67781/103136/22384/105148/18655/21849/229279/27979/13681/230484/12465/70769/12785/12417/22627/22333/11991/18148/22630/20588/20815/23918/67204/11792/67134/11837/67097/16211/231872/50995/20383/19899/20810/53381/18458/67115/56403/66409/51788/27050/20103/30877/69719/14694/19988/21454/14852/12330/22194/24015/13204/225363/20104/15191/56200/14208/66870/230721/73192/27366
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,179,0.3931561075225275,1.7583525821047106,5.450518475714702e-5,3.028065819841501e-4,1.4662213443443058e-4,2357,"tags=32%, list=17%, signal=27%",19039/15945/14102/12370/78388/99899/66892/11861/209086/30934/246728/16169/55932/56338/67138/246727/70082/58203/80861/20306/20344/229003/140795/209588/24110/66307/14129/21929/75345/15958/20304/16190/434341/15959/22038/58185/12226/217069/16822/21939/327959/15170/17329/234311/71701/12265/12010/14998/74735/60533/56045/22169/16912/100038882/12575/12363/16068/18712
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,96,-0.4179526242748539,-1.8708941679403661,1.1253390152498868e-4,5.626695076249434e-4,2.7245049842891997e-4,2936,"tags=35%, list=21%, signal=28%",192662/266632/12317/26409/13684/110157/22030/11840/26397/20111/26419/13001/26413/12283/23988/18795/19087/19082/18710/13649/19247/21844/19766/15461/18711/26399/70584/108079/19211/11651/16439/107476/228026/14675
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,105,0.4423969709758528,1.8022119180871063,1.5566335104924567e-4,7.075606865874803e-4,3.4260833245288526e-4,1441,"tags=27%, list=10%, signal=24%",18631/74114/15488/67442/11668/14081/114664/101502/26874/269951/66887/71382/13124/26458/20183/16890/67993/19298/13370/56752/13850/56362/71648/66307/20280/76263/67452/69129
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,190,0.3691954113646552,1.6563172539376987,2.9419865302418596e-4,0.0012258277209341083,5.935586859259894e-4,1199,"tags=21%, list=9%, signal=20%",22361/12491/74114/66841/11430/67442/12499/76408/51798/11761/13849/26874/93732/18104/50500/18787/14102/71093/13836/22235/14261/11432/18563/66082/57436/27273/56752/12368/53328/19286/14629/14865/14872/68021/15452/59046/12349/72269/78038/29858
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,91,0.4165280020896506,1.6555852968974256,0.0012771702469337814,0.004912193257437621,0.002378535682548743,2248,"tags=33%, list=16%, signal=28%",68487/19039/15945/12370/99899/209086/55932/56338/67168/67138/246730/80861/74153/229003/24110/319236/15958/16190/15959/22038/58185/217069/234311/71701/12010/74735/211329/22169/16912/100038882
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,58,-0.4377076879887584,-1.7405598660001673,0.0017798301055319487,0.006356536091185532,0.0030779016862582578,2982,"tags=52%, list=21%, signal=41%",66164/66942/13340/71974/67973/69902/18813/70683/22256/235036/101612/107094/110109/70769/107071/12417/18432/18148/100608/53414/67134/66422/231872/68493/53608/20810/226169/30877/76130/72515
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,169,0.3414502987647176,1.5079658474233621,0.004112182129542589,0.013707273765141964,0.0066372062441740045,2540,"tags=25%, list=18%, signal=21%",12491/12908/13009/14081/100732/18104/11537/97064/18693/22004/76954/21345/12825/18563/13867/12827/12835/12842/12834/20657/19245/20698/20692/14613/17913/19769/11443/13400/68507/20740/17873/11568/107589/18128/14199/78286/12575/29817/192897/59069/11790/15184/20411
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,154,0.3519864976345336,1.5295680511528305,0.005851607086323172,0.01828627214475991,0.008854405459567958,3414,"tags=36%, list=25%, signal=28%",15980/15945/18787/14745/19204/54403/16169/21857/21897/20354/20698/23849/20306/52118/24088/20312/17869/54216/20304/16190/13874/12506/216799/11622/20299/16822/21939/12267/17329/20339/12475/18174/13058/26362/12575/108960/18793/12227/13614/12775/19267/19219/320207/50778/18414/54199/16197/14066/54393/50723/56696/64008/14726/74442/13732/16154
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,174,-0.2971941425147002,-1.427553132418635,0.00688566607598958,0.020251959047028176,0.009806211749087327,1234,"tags=17%, list=9%, signal=16%",99929/54371/13649/74747/15531/14815/22339/17859/110611/14735/22022/14538/56485/13358/170768/14042/216558/14385/17319/50527/21366/15529/11639/14121/20893/103988/228026/230163/18770/14751
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,78,0.3901133916928662,1.529401668981657,0.007364928397325169,0.020458134437014358,0.0099060440431859,2970,"tags=36%, list=21%, signal=28%",12491/15980/16476/15945/14102/16326/16169/54635/20306/24088/20310/12982/54721/16190/21926/17329/12475/26410/16186/56744/18712/12505/320207/12768/18414/16188/11482/16155
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,168,0.33721903800315156,1.4877180352269552,0.009176343755730551,0.02414827304139619,0.011692847998991842,2589,"tags=30%, list=19%, signal=25%",74114/12683/67468/93695/57875/71972/15945/12223/18671/13844/14373/66058/11501/20347/13730/20568/12349/84094/18791/18612/18792/18616/21929/13040/17385/65963/12982/228662/20750/13874/170744/13602/56068/71683/22029/12267/18186/234309/16186/14584/26411/223272/18793/17087/64297/14396/56743/94176/56195/16792/60596
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,148,0.32805015049087094,1.4151094716529813,0.015385182714674834,0.03846295678668708,0.01862416854934322,3058,"tags=35%, list=22%, signal=28%",67442/16476/12443/14102/12370/16668/17022/19063/14775/13867/56338/21857/15507/12368/13730/17390/18596/21973/16854/12124/18791/11910/625249/20515/14782/11518/18796/13179/13874/65111/16952/21926/12111/17314/12475/20740/17873/12366/18479/12575/12363/12227/13655/12505/58801/21858/14062/20229/66593/18412/21808/13347
HALLMARK_COAGULATION,HALLMARK_COAGULATION,123,-0.30376119787866185,-1.4082304166902788,0.016765998416896463,0.039919043849753484,0.01932922123251221,2378,"tags=33%, list=17%, signal=28%",67603/19128/14701/69379/110382/50908/14069/12266/19733/93721/13036/71753/13039/19072/66901/19123/11806/17395/14268/11814/14061/11727/15378/12630/18815/98710/22041/12258/14161/14058/14962/12263/58992/99571/16424/18441/11905/56373/12279/13190/17195
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,193,0.30736810669154807,1.3798173254513872,0.01782511052287134,0.040511614824707595,0.019616150336174205,1694,"tags=16%, list=12%, signal=14%",66841/57279/110446/67442/67460/11364/13177/231086/51798/269951/113868/55951/97212/66447/12894/27273/109731/13382/56451/76614/16828/104776/78920/625249/14719/15108/18115/11757/110842/11429
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,91,-0.32094577264863705,-1.4194984441206413,0.020591025724604133,0.04339596588873806,0.021012783482967905,4310,"tags=43%, list=31%, signal=30%",70349/232910/67804/50797/59042/13518/11774/69162/66366/54214/11773/12725/77929/211673/22088/12757/11765/67830/56494/99371/67074/66251/11840/12390/19334/108124/26413/68581/11303/56041/13649/72736/213827/56418/71943/70361/14420/11928/107767
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,170,0.3059145431900775,1.3523892109964915,0.020830063626594265,0.04339596588873806,0.021012783482967905,2378,"tags=28%, list=17%, signal=23%",18631/20520/71946/54608/230603/16691/212862/12443/26458/16668/98952/99543/22248/15460/17864/14200/75007/20347/171531/268860/16324/76453/16763/73710/15205/17869/171180/14281/94249/21847/11854/381269/228839/226101/319613/16663/20525/67815/21817/20501/14609/12043/78286/233016/16665/11835/13655
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,198,0.30945285489936336,1.3903704657708715,0.023401147122031465,0.04680229424406293,0.02266216352870416,3342,"tags=36%, list=24%, signal=28%",26920/104027/56349/223697/16579/71704/54126/233406/229841/17318/94190/74237/108907/72119/12534/224014/105988/21973/209737/68743/208628/16800/110033/234214/74470/218977/269713/78514/11799/77579/16443/18817/72776/12235/73804/26934/22330/214444/16571/108686/13998/216846/12442/240641/237860/16897/20740/108000/18005/22137/17118/71819/20878/109934/94176/17925/70799/74187/75786/544817/17974/192176/19687/16551/68724/67052/70099/67141/110380/101706/18472/13605
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,16,-0.5630699911061156,-1.6570972742370136,0.03861189275135191,0.07425363990644598,0.03595439405996333,3271,"tags=50%, list=24%, signal=38%",16658/15376/13482/20818/56458/20526/103988/18770
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,186,0.2933598021361957,1.3127073190533,0.04087193460490463,0.07568876778686043,0.03664929808626927,3316,"tags=37%, list=24%, signal=28%",13640/17218/12443/27221/17216/107995/15366/272551/233406/56150/229841/17219/108907/72119/12428/20877/12534/14211/105988/21973/209737/16765/110033/68612/17869/18973/17345/77782/76464/12580/20873/11799/18817/12235/73804/26934/19366/21887/16571/103573/12442/23834/240641/12649/108000/18005/22137/17118/17215/12544/71819/20878/18286/18969/51810/17865/52033/231386/212999/16551/67052/15374/14088/70099/67141/14056/101706/18472
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,135,0.31205491307748,1.3235927032132047,0.05507246376811594,0.09834368530020704,0.047619047619047616,1281,"tags=19%, list=9%, signal=17%",19016/16007/18787/14007/14745/12825/12843/69219/14200/68055/12842/19663/17748/11746/12306/23945/20273/18596/12040/23876/12832/22359/236915/20975/17869
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,156,0.30313043629476877,1.3184596333245435,0.057665260196905765,0.09942286240845821,0.04814159653462188,2048,"tags=24%, list=15%, signal=21%",11671/20520/54608/74335/212862/15360/269951/93732/12443/26458/98952/22235/15460/64058/21789/19348/17294/107995/272551/20347/15452/12349/21973/114663/76453/53314/14281/94249/17242/20873/226101/217325/16663/20446/15170/16782/20501/23834
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,71,0.3382097878475857,1.3030710443450642,0.0950920245398773,0.15452965037666602,0.07482488334028041,2436,"tags=32%, list=18%, signal=27%",19016/51798/14677/208715/71914/11747/228775/20195/16449/20347/16854/11910/231207/20788/22038/16956/108767/17855/56473/20239/18793/19141/66071
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,89,-0.28760427972361013,-1.263664946450685,0.09580838323353294,0.15452965037666602,0.07482488334028041,1607,"tags=24%, list=12%, signal=21%",109711/13714/66884/71817/14595/74205/19012/333433/56228/27057/14679/14958/70361/67760/15357/16880/76267/11651/231070/26557/11732
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,174,0.2803099041918281,1.2430509753560002,0.10482758620689656,0.16379310344827586,0.07931034482758621,2218,"tags=27%, list=16%, signal=23%",11520/229521/15945/11861/18671/212531/57436/12520/12833/55932/13730/11746/23849/12349/12332/20344/18612/23959/52187/53314/625249/17869/22634/17913/22779/15277/17133/20750/16190/12506/22038/213056/11622/22029/14744/57319/18186/109332/21817/23834/26410/17873/74734/12043/54139/68151/80859
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,193,0.2715329520121481,1.218948431735987,0.11983471074380166,0.18156774355121463,0.08791701266690394,3457,"tags=37%, list=25%, signal=28%",66570/108961/17218/17217/17216/19355/107995/15366/56150/229841/17219/212377/20877/12534/105988/21973/16765/110033/17869/19362/218977/18973/17345/54141/15201/12580/50883/14793/20873/11799/18817/73804/26934/22059/76131/16571/66929/103573/70218/106795/13178/12442/12649/17215/12575/20878/18969/19090/17865/16881/66442/103135/56419/110074/51797/19718/19687/18971/15374/12236/12704/70099/101565/78833/14056/67196/68298/97165/21335/52276/18949
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,184,0.2694788286437576,1.2085518760188008,0.12516823687752354,0.18407093658459345,0.0891290850830663,2377,"tags=24%, list=17%, signal=20%",67442/20194/13849/68428/16476/14102/98845/107986/19296/228775/105501/13836/64058/12520/17112/56338/99681/71839/268860/20698/16324/319162/11910/29858/14281/12192/15183/15939/19730/22059/76500/12226/21452/27280/27416/15468/217344/18128/53619/21802/19367/12575/192897/12227
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,0.3646458423513005,1.2897102605738562,0.1320450885668277,0.18863584080975387,0.0913394597605124,1391,"tags=21%, list=10%, signal=19%",18104/76650/11927/110265/16477/14629/56615/216161/625249/14782
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,31,0.37909245260687685,1.222818308777995,0.19727891156462585,0.2732649547053979,0.1323177675415611,2252,"tags=39%, list=16%, signal=33%",12825/17022/16449/50706/21857/14314/12832/13003/20750/16956/18186/56744
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,162,0.2616455522946233,1.147947392685312,0.20221606648199447,0.2732649547053979,0.1323177675415611,3004,"tags=32%, list=22%, signal=25%",15980/14102/21857/21897/20306/12332/16324/12772/24088/13040/14537/16643/20304/16190/13874/216799/20299/21926/16822/21939/14744/15170/226419/17329/12010/14998/12502/12501/16186/56744/12480/26411/230861/22376/21899/20375/14960/17084/216080/12768/56501/23880/16414/20452/14062/192176/12525/16149/15900/19264/50723/21808
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,32,0.36827282721002064,1.1935051264012995,0.22164948453608246,0.2916440586001085,0.1412171231116315,2136,"tags=22%, list=15%, signal=19%",12443/22418/21402/16449/15205/56198/18128
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,34,0.3526209623719191,1.1601958880689793,0.2542372881355932,0.32068965517241377,0.15528130671506352,2294,"tags=29%, list=17%, signal=25%",13640/72043/64706/226250/15507/432442/20312/14252/16186/18793
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,178,0.2464926299334144,1.0993194194794769,0.25655172413793104,0.32068965517241377,0.15528130671506352,2520,"tags=28%, list=18%, signal=23%",14733/53897/57875/27376/18563/57357/26384/67451/19348/56752/13382/15366/12368/26432/78688/14635/58810/12831/14629/12534/16828/59046/21810/13003/12124/16765/22359/23959/52187/76524/69976/18484/14719/384783/15277/13179/76131/21351/52231/22166/68507/67311/21802/80879/20878/109672/18822/13506/12505
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,170,0.24701908409802598,1.0920237421887988,0.27023319615912206,0.3295526782428318,0.15957287578073961,1570,"tags=16%, list=11%, signal=14%",71946/22228/26357/17524/12892/66447/18023/215814/74334/18563/13034/22276/219094/14629/233489/71648/12349/12215/66935/53415/104776/666468/11518/18115/30945/54484/71779
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,52,0.2842097690247085,1.030275749279865,0.4142857142857143,0.4817275747508306,0.23325756251092852,1481,"tags=19%, list=11%, signal=17%",15980/18787/97064/16477/21825/21815/65112/20515/21847/14225
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,136,-0.21553714208908706,-1.0146244483332234,0.41233766233766234,0.4817275747508306,0.23325756251092852,3353,"tags=31%, list=24%, signal=24%",59045/11891/12122/16195/59001/20867/20887/12611/17096/14228/227120/13350/19266/18391/26905/15379/105675/17161/12447/13039/20751/27053/15270/12156/71702/13559/55938/110920/22145/66427/103963/217869/66849/56418/110960/56200/12228/12799/15512/11702/231327/12367
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,167,0.2296959475370841,1.0124509384599203,0.42778541953232463,0.4861197949230962,0.23538432175223606,2511,"tags=24%, list=18%, signal=20%",12491/17381/11808/18787/11747/380921/229445/17386/11927/21789/12827/21857/240672/208650/12349/16854/72269/18791/11552/56193/16889/21929/13040/17133/20304/22038/63985/56697/16822/20779/17221/14696/18591/16912/18793/12363/18712/19141/22376/13033
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,69,0.2525257015964936,0.9699437094323392,0.5192604006163328,0.5769560006848142,0.2793681687526469,2413,"tags=28%, list=17%, signal=23%",17773/53885/11861/54137/12534/69310/106344/20480/12235/73804/20744/21351/12442/12686/18005/22137/72350/23980/20878
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,165,0.21732637959954726,0.9558182681340177,0.5430555555555555,0.5902777777777777,0.28581871345029236,3521,"tags=28%, list=25%, signal=22%",12908/16780/14677/15107/20336/23794/17390/107581/20163/21810/13003/14026/19261/20312/18190/17242/21827/16151/77579/22330/20963/22029/14118/68481/20779/73341/16782/60533/192897/11468/11790/213119/23880/11490/11465/71740/12490/19264/22329/22629/12563/18383/110380/19294/22793/381921/12552
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,94,0.22513203986770797,0.9014768664335773,0.6341829085457271,0.6746626686656672,0.3266787658802178,2401,"tags=20%, list=17%, signal=17%",232370/18772/104027/17769/20503/56632/16682/20766/18205/110308/58185/14536/16663/16665/18227/56358/12227/13614/72350
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,28,-0.253711218154428,-0.8539322318787907,0.6830985915492958,0.7115610328638498,0.34454534222881145,1955,"tags=21%, list=14%, signal=18%",16825/20423/14766/22339/18815/12614
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,37,0.24482968062509333,0.8162074482484438,0.7666098807495741,0.7822549803567084,0.3787760957516694,2136,"tags=22%, list=15%, signal=18%",14677/16449/22419/27373/17869/22059/18222/18128
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,148,0.14803672347554656,0.6385858053387751,0.9985815602836879,0.9985815602836879,0.4835237028742069,3109,"tags=22%, list=22%, signal=17%",54722/107986/11512/19361/56520/74167/15452/54208/72269/76850/106344/625249/22059/13870/67665/107569/18588/105446/21343/22169/53378/19365/18969/16881/110074/56626/68092/19718/20908/13872/66467/18971
